pluto, 명왕성
carbon, 탄소
helium, 헬륨
copper, 구리
propane, 프로판
ammonia, 암모니아
zinc, 아연
oxygen, 산소
water, 물
my, 내
research, 연구
bitter, 쓰라
geography, 지리
long, 긴
prince,  왕자
queen, 여왕
king, 왕
princess, 공주
island, 섬
mythology, 신화
dynasty, 왕조
throne, 왕좌
clock, 시계
banjo, 밴조
drum, 북
guitar, 기타
organ, 풍금
harp, 하프
oboe, 오보에
flute, 플루트
ukulele, 우쿨렐레
violin, 바이올린
accordion, 아코디언
trumpet, 트럼펫
xylophone, 실로폰
trademark, 상표
steel, 강철
ink, 강철
photograph, 사진
recording, 녹음
firm, 단단한
fold, 접다
hungry, 배고파
profit, 이익
luxury, 사치
repair, 수리
mirror, 거울
thick, 두꺼운
taste, 맛보다
safe, 안전한
rent, 임대
architecture, 건축
moustache, 콧수염
migraine, 편두통
hurt, 상처
